Ped,#sequences,#sequences_day,sequences_nigth,#bboxes,#bboxes_day,#bboxes_nigth,#cams,#cams_day,#cams_night
3312325004,3,2,1,284,192,92,3,3,2
331645324,2,1,1,84,70,14,2,1,1
3321821918,2,2,0,19,19,0,2,2,0
3333724719,4,2,2,136,98,38,4,3,2
3343476521,3,2,1,102,62,40,3,2,1
3349113128,2,1,1,120,49,71,2,1,1
3365863812,2,2,0,168,168,0,2,2,0
3367442045,1,1,0,5,5,0,1,1,0
3367706194,3,2,1,93,83,10,4,3,1
3374523516,4,2,2,269,139,130,4,2,3
3382649284,2,2,0,144,144,0,3,3,0
3389018345,2,2,0,9,9,0,2,2,0
3394697810,2,2,0,68,68,0,3,3,0
3402126148,1,1,0,24,24,0,1,1,0
3408943538,2,1,1,24,10,14,2,1,1
3422293493,2,2,0,7,7,0,2,2,0
343259175,2,1,1,64,39,25,2,2,2
3439295882,4,2,2,102,53,49,3,2,2
3447159466,3,2,1,133,56,77,3,2,1
3454621138,3,2,1,117,75,42,3,2,1
3457361118,2,1,1,14,10,4,2,1,1
3459037009,2,1,1,114,62,52,1,1,1
3465614249,2,2,0,88,88,0,3,3,0
3465937675,1,1,0,37,37,0,1,1,0
3479321132,1,1,0,29,29,0,2,2,0
3482496489,3,2,1,52,40,12,3,2,1
348382215,3,2,1,259,179,80,3,2,1
349505262,3,2,1,29,18,11,3,3,1
349680864,3,2,1,64,34,30,3,3,1
3499148112,2,2,0,148,148,0,3,3,0
3502104854,1,0,1,8,0,8,1,0,1
3512565361,1,1,0,19,19,0,1,1,0
3513928062,1,1,0,32,32,0,2,2,0
3519864886,1,1,0,43,43,0,1,1,0
3523131524,3,2,1,125,65,60,3,2,1
3529955798,3,2,1,159,104,55,2,2,1
3538133636,2,2,0,86,86,0,2,2,0
355916122,1,1,0,27,27,0,1,1,0
3564307372,4,2,2,155,85,70,3,2,2
3579522037,2,1,1,195,127,68,2,2,2
3585757951,2,1,1,17,3,14,1,1,1
3609190705,2,2,0,143,143,0,2,2,0
3613420592,2,1,1,82,36,46,2,1,2
3613962792,3,2,1,55,45,10,2,2,1
361513884,3,2,1,127,64,63,4,3,1
